Município-São Paulo,Codigo Municipio,Ano,Gini,Densidade,% Trab,PIB per capita,Anos Medios de Educação,Investimento em Segurança,Urbanização,População,Homicídio Doloso,Furto,Roubo,Furto e Roubo de Veículo,Crime,Tx.Crime,Tx.Seg
TABAPUA,3552601,2016,0.253911397882491,35.23726851851852,0.15667597306618491,12944.134199495875,12.626310272536688,258042.3701870766,0.6084335616192615,12178.0,2,68,7,8,83,6.815569058958778,21189.224025872605
TABAPUA,3552601,2015,0.2687746531025885,35.020254629629626,0.18573907295711806,13964.369088747682,12.516459074733095,204393.12600010357,0.6629458435931411,12103.0,0,83,2,4,89,7.353548706932165,16887.80682476275
TABAPUA,3552601,2014,0.2847325138190498,34.80034722222222,0.19755550012471937,14761.504539501679,12.444444444444445,213528.50690018944,0.6287630715433646,12027.0,0,98,4,9,111,9.229234222998254,17754.095526747275
TABAPUA,3552601,2013,0.28563741706798906,34.57465277777778,0.19516277512762575,15327.974056324292,12.476415094339623,189860.25652684184,0.56466572493154,11949.0,1,86,3,2,91,7.615700058582308,15889.21721707606
TABAPUA,3552601,2012,0.28719825480579075,33.26099537037037,0.21278816876903,14590.923926239926,11.975878986099755,116294.90979200165,0.555307638145541,11495.0,1,85,5,7,97,8.438451500652457,10116.999546933594
TABAPUA,3552601,2011,0.28817909915206036,33.072916666666664,0.17401574803149605,14849.990374539799,12.149321266968325,47406.279058527,0.4797282936926406,11430.0,0,136,4,6,146,12.773403324584427,4147.5309762490815
TABAPUA,3552601,2010,0.29305676353415544,32.88773148148148,0.17270807672004224,15034.9,12.110035659704534,51862.13,0.45636769747164035,11366.0,1,77,6,6,89,7.830371282773183,4562.91835298258
TAIACU,3553104,2017,0.2504505895656986,58.67729831144466,0.10183852917665867,9567.494645286703,12.996860282574568,146480.28000253325,0.6052048747243749,6255.0,2,46,6,5,57,9.112709832134293,23418.110312155597
TAIACU,3553104,2016,0.26347939186747027,58.44277673545967,0.09309791332263243,8262.970263056495,12.898275862068965,69755.66550973161,0.5837364644179149,6230.0,0,56,5,5,66,10.593900481540931,11196.736036875058
TAIACU,3553104,2015,0.2555658589220239,58.208255159474675,0.09669621273166801,8233.041858335007,12.625,62046.212087640815,0.6534439806753939,6205.0,1,35,5,2,42,6.768734891216761,9999.389538701178
TAIACU,3553104,2014,0.2688463098650041,57.964352720450286,0.10163456870043697,8754.503786487077,12.450636942675159,70411.80635442608,0.6483503272120363,6179.0,0,55,2,4,61,9.872147596698495,11395.34008001717
TAIACU,3553104,2013,0.26953573087475124,57.7204502814259,0.10238907849829351,9070.590749783927,12.511111111111111,58043.26286379834,0.6564347337459474,6153.0,0,33,7,4,44,7.150983260198277,9433.327297870688
TAIACU,3553104,2012,0.27451858156986814,55.684803001876176,0.09754043126684636,8967.460986678043,12.36614853195164,69380.3362735649,0.6250436867158572,5936.0,0,33,5,5,43,7.243935309973046,11688.062040694896
TAIACU,3553104,2011,0.2660752062215873,55.49718574108818,0.12001352265043949,8922.02519330007,12.416901408450704,79364.03496728555,0.5853133334389717,5916.0,1,41,2,2,45,7.606490872210953,13415.151279121967
